year,prosumer_id,load_kwh,pv_kwh
2030,P8,4943.509687374384,5549.713843207266
2030,P9,8664.256671778678,3272.908163942747
2031,P1,8637.945232894213,3772.5129964565153
2031,P10,14943.015592725498,4890.294625036224
2031,P2,11361.347839381193,4051.958403601442
2031,P3,7419.653547832062,5169.74003218115
2031,P4,3444.6049067638714,2934.1767750217336
2031,P5,6222.162112851564,3493.067589311588
2031,P6,6199.231439644009,4610.849217891297
2031,P7,5054.583703831737,4331.403810746368
2031,P8,4822.183053117205,5449.185439326077
2031,P9,8493.498461376073,3213.622182166661
2032,P1,8866.855509800027,3786.712869696024
2032,P10,14455.762328092494,4908.701868124476
2032,P2,11788.218396907328,4067.2101193031367
2032,P3,7353.9068024279795,5189.199117731589
2032,P4,3496.104964388692,2945.2211208746853
2032,P5,6355.697668993102,3506.215620088911
2032,P6,6156.50799186892,4628.204618517363
2032,P7,5169.738188999021,4347.707368910249
2032,P8,4865.293664037487,5469.696367338702
2032,P9,8633.617873879264,3225.718370481798
2033,P1,9110.615332960251,3761.953408052975
2033,P10,15260.496570187772,4876.606269698301
2033,P2,11745.891342260562,4040.6166234643065
2033,P3,7225.988391730899,5155.269485109632
2033,P4,3565.1408706339485,2925.9637618189804
2033,P5,6479.755447394417,3483.290192641643
2033,P6,6116.893045032273,4597.9430542869695
2033,P7,5141.04212324361,4319.279838875637
2033,P8,5026.174623000347,5433.932700520963
2033,P9,8902.750508545396,3204.626977230312
2034,P1,8990.231164303907,3772.090610232496
2034,P10,15055.082892394586,4889.747087338421
2034,P2,11705.351776426953,4051.504729508977
2034,P3,7374.877487409541,5169.161206614902
2034,P4,3504.67229684628,2933.848252403052
2034,P5,6436.181621734506,3492.6764909560143
2034,P6,6215.477372851936,4610.33296806194
2034,P7,5198.633319805958,4330.918848785457
2034,P8,4981.515295274329,5448.575325891383
2034,P9,8665.437988833413,3213.2623716795333
2035,P1,8890.376979534647,3695.978372038909
2035,P10,15437.587743138229,4791.0830748652525
2035,P2,12005.561345434387,3969.754547745495
2035,P3,7211.062574717955,5064.859250571839
2035,P4,3527.56533498732,2874.6498449191517
2035,P5,6437.755044906758,3422.202196332323
2035,P6,6196.616680669867,4517.306899158667
2035,P7,5287.4035371172695,4243.530723452081
2035,P8,5040.265554223928,5338.635426278424
2035,P9,8976.465374324753,3148.426020625737
2036,P1,9275.619898357128,3724.993190970455
2036,P10,15276.26807968228,4828.6948771839225
2036,P2,11925.925593142618,4000.9186125238216
2036,P3,7429.743504433358,5104.62029873729
2036,P4,3556.812869184821,2897.2169263103533
2036,P5,6532.644806778975,3449.067769417087
2036,P6,6385.089488684714,4552.769455630556
2036,P7,5372.089902280459,4276.844034077188
2036,P8,5276.970970396861,5380.545720290656
2036,P9,8708.275642083834,3173.1423478637203
2037,P1,8955.068908443467,3658.452605668283
2037,P10,14919.97624650951,4742.43856290333
2037,P2,12148.310565106962,3929.4490949770448
2037,P3,7498.410187113608,5013.435052212092
2037,P4,3675.918032287561,2845.463137741998
2037,P5,6511.692469660226,3387.456116359521
2037,P6,6334.413083278483,4471.442073594569
2037,P7,5220.996826641303,4200.445584285806
2037,P8,5036.288276240872,5284.431541520853
2037,P9,8815.777255555859,3116.4596270507595
2038,P1,9262.6247094029,3600.703936181821
2038,P10,15683.367614746016,4667.579176531991
2038,P2,11966.67976086128,3867.422746269364
2038,P3,7571.30941046724,4934.297986619533
2038,P4,3646.038298125237,2800.547505919194
2038,P5,6726.155316381374,3333.9851260942787
2038,P6,6556.03763573539,4400.860366444449
2038,P7,5307.333129374566,4134.141556356905
2038,P8,5256.912376356525,5201.016796707076
2038,P9,8846.70149549238,3067.2663160067364
2039,P1,9419.143527405033,3561.3734790694853
2039,P10,15819.586147259695,4616.59525064563
2039,P2,12138.517586283666,3825.178921963521
2039,P3,7548.872331198004,4880.400693539666
2039,P4,3723.65080018935,2769.957150387377
2039,P5,6836.053720084892,3297.568036175449
2039,P6,6446.720501997087,4352.789807751594
2039,P7,5353.994255363199,4088.984364857557
2039,P8,5374.308122506959,5144.206136433701
2039,P9,9506.363375803532,3033.762593281413
2040,P1,9543.176051343262,3654.240801822022
2040,P10,15808.204207987734,4736.978817176695
2040,P2,12339.909028539943,3924.9253056606894
2040,P3,7442.131213247786,5007.663321015363
2040,P4,3619.578127560612,2842.1872903060166
2040,P5,6909.145011004163,3383.556297983353
2040,P6,6627.842999153299,4466.294313338027
2040,P7,5475.975810400884,4195.609809499358
2040,P8,5377.7638983657225,5278.347824854031
2040,P9,9342.349246260685,3112.871794144685
