event_id,scenario,start,end_exclusive,duration_hours
73,moderate,2033-08-28 11:00:00,2033-08-28 18:00:00,7
74,moderate,2033-09-23 11:00:00,2033-09-23 15:00:00,4
75,moderate,2033-11-27 04:00:00,2033-11-27 07:00:00,3
76,moderate,2034-03-13 18:00:00,2034-03-14 01:00:00,7
77,moderate,2034-04-03 03:00:00,2034-04-03 06:00:00,3
78,moderate,2034-04-07 17:00:00,2034-04-07 20:00:00,3
79,moderate,2034-05-07 22:00:00,2034-05-08 03:00:00,5
80,moderate,2034-05-19 22:00:00,2034-05-20 01:00:00,3
81,moderate,2034-09-04 18:00:00,2034-09-04 22:00:00,4
82,moderate,2034-09-09 11:00:00,2034-09-09 15:00:00,4
83,moderate,2034-12-11 05:00:00,2034-12-11 10:00:00,5
84,moderate,2034-12-17 04:00:00,2034-12-17 11:00:00,7
85,moderate,2034-12-30 10:00:00,2034-12-30 14:00:00,4
86,moderate,2035-01-02 14:00:00,2035-01-02 19:00:00,5
87,moderate,2035-01-30 09:00:00,2035-01-30 11:00:00,2
88,moderate,2035-04-25 07:00:00,2035-04-25 11:00:00,4
89,moderate,2035-05-17 04:00:00,2035-05-17 07:00:00,3
90,moderate,2035-06-10 19:00:00,2035-06-10 22:00:00,3
91,moderate,2035-12-02 13:00:00,2035-12-02 16:00:00,3
92,moderate,2036-02-16 02:00:00,2036-02-16 06:00:00,4
93,moderate,2036-02-18 13:00:00,2036-02-18 19:00:00,6
94,moderate,2036-03-06 02:00:00,2036-03-06 05:00:00,3
95,moderate,2036-04-07 22:00:00,2036-04-08 02:00:00,4
96,moderate,2036-06-23 02:00:00,2036-06-23 05:00:00,3
97,moderate,2036-07-30 18:00:00,2036-07-30 22:00:00,4
98,moderate,2036-08-02 21:00:00,2036-08-03 03:00:00,6
99,moderate,2036-08-19 17:00:00,2036-08-19 22:00:00,5
100,moderate,2036-09-15 15:00:00,2036-09-15 21:00:00,6
101,moderate,2036-10-04 02:00:00,2036-10-04 06:00:00,4
102,moderate,2036-10-11 09:00:00,2036-10-11 12:00:00,3
103,moderate,2037-01-27 09:00:00,2037-01-27 13:00:00,4
104,moderate,2037-03-30 20:00:00,2037-03-31 00:00:00,4
105,moderate,2037-06-13 04:00:00,2037-06-13 08:00:00,4
106,moderate,2037-07-24 14:00:00,2037-07-24 17:00:00,3
107,moderate,2037-09-01 22:00:00,2037-09-02 02:00:00,4
108,moderate,2037-09-05 12:00:00,2037-09-05 16:00:00,4
109,moderate,2038-01-19 20:00:00,2038-01-20 06:00:00,10
110,moderate,2038-02-07 01:00:00,2038-02-07 09:00:00,8
111,moderate,2038-02-18 07:00:00,2038-02-18 10:00:00,3
112,moderate,2038-11-22 16:00:00,2038-11-22 20:00:00,4
113,moderate,2039-01-15 10:00:00,2039-01-15 12:00:00,2
114,moderate,2039-02-18 08:00:00,2039-02-18 11:00:00,3
115,moderate,2039-07-17 16:00:00,2039-07-17 20:00:00,4
116,moderate,2040-03-11 23:00:00,2040-03-12 05:00:00,6
117,moderate,2040-04-28 16:00:00,2040-04-28 19:00:00,3
118,moderate,2040-05-12 20:00:00,2040-05-12 23:00:00,3
119,moderate,2040-05-25 19:00:00,2040-05-25 21:00:00,2
120,moderate,2040-07-06 16:00:00,2040-07-06 20:00:00,4
